,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2022-01-03,2330,73703302,46249716919,619.0,632.0,618.0,631.0,16.0,88508
1,2022-01-04,2330,90945643,59188199534,645.0,656.0,644.0,656.0,25.0,106409
2,2022-01-05,2330,72505550,47582832784,669.0,669.0,646.0,650.0,-6.0,64712
3,2022-01-06,2330,57490736,36817638522,638.0,646.0,636.0,644.0,-6.0,53430
4,2022-01-07,2330,39847766,25358237656,643.0,646.0,632.0,634.0,-10.0,44497
5,2022-01-10,2330,39286754,25052138297,628.0,645.0,627.0,643.0,9.0,33453
6,2022-01-11,2330,36186544,23361588355,646.0,651.0,639.0,651.0,8.0,26849
7,2022-01-12,2330,40832298,26762357054,657.0,660.0,650.0,660.0,9.0,39164
8,2022-01-13,2330,39172028,25813559647,658.0,662.0,655.0,661.0,1.0,34355
9,2022-01-14,2330,98768193,66094477906,673.0,673.0,661.0,672.0,11.0,83211
10,2022-01-17,2330,63828552,43615303577,685.0,688.0,678.0,683.0,11.0,61981
11,2022-01-18,2330,48802321,32742176854,678.0,681.0,662.0,662.0,-21.0,65357
12,2022-01-19,2330,44092247,28859030269,652.0,660.0,651.0,654.0,-8.0,50763
13,2022-01-20,2330,48996473,31893527292,650.0,657.0,646.0,651.0,-3.0,39346
14,2022-01-21,2330,53966101,34642476570,644.0,646.0,637.0,641.0,-10.0,66088
15,2022-01-24,2330,48665203,31412475591,639.0,655.0,637.0,653.0,12.0,36231
16,2022-01-25,2330,53927064,34582254327,643.0,645.0,638.0,641.0,-12.0,56698
17,2022-01-26,2330,33093553,21089251429,635.0,641.0,635.0,636.0,-5.0,35647
18,2022-02-07,2330,64637049,41221401027,644.0,644.0,631.0,635.0,-1.0,43774
19,2022-02-08,2330,43786259,27805114442,645.0,645.0,628.0,628.0,-7.0,40026
20,2022-02-09,2330,33633394,21289086984,635.0,637.0,630.0,633.0,5.0,29746
21,2022-02-10,2330,37388892,24028303016,639.0,649.0,637.0,649.0,16.0,28452
22,2022-02-11,2330,28194682,18225628338,646.0,650.0,642.0,650.0,1.0,21995
23,2022-02-14,2330,39394670,25104180949,640.0,641.0,635.0,637.0,-13.0,33928
24,2022-02-15,2330,24497955,15556533655,633.0,639.0,633.0,633.0,-4.0,31907
25,2022-02-16,2330,27395771,17635435307,645.0,646.0,640.0,646.0,13.0,23136
26,2022-02-17,2330,20447347,13171026165,644.0,646.0,641.0,645.0,-1.0,16116
27,2022-02-18,2330,21948975,13997433486,638.0,639.0,636.0,637.0,-8.0,23892
28,2022-02-21,2330,25769408,16320629980,633.0,636.0,632.0,632.0,-5.0,41961
29,2022-02-22,2330,38526210,24153923316,628.0,630.0,625.0,627.0,-5.0,68303
30,2022-02-23,2330,34561338,21606428438,624.0,629.0,623.0,625.0,-2.0,50926
31,2022-02-24,2330,80672979,49358065299,618.0,619.0,604.0,604.0,-21.0,188248
32,2022-02-25,2330,94155943,56880320916,600.0,609.0,600.0,604.0,0.0,129776
33,2022-03-01,2330,70303880,42445208215,599.0,610.0,599.0,604.0,0.0,67439
34,2022-03-02,2330,42428151,25528700277,601.0,605.0,600.0,601.0,-3.0,58916
35,2022-03-03,2330,37103932,22373890387,603.0,607.0,601.0,602.0,1.0,65410
36,2022-03-04,2330,65235167,38833099256,595.0,597.0,592.0,595.0,-7.0,206731
37,2022-03-07,2330,97167600,56147025127,580.0,581.0,575.0,576.0,-19.0,297917
38,2022-03-08,2330,88371413,49908147901,561.0,570.0,561.0,563.0,-13.0,269695
39,2022-03-09,2330,57512412,32761408119,567.0,573.0,567.0,568.0,5.0,112422
40,2022-03-10,2330,49092145,28798814637,585.0,589.0,582.0,587.0,19.0,71569
41,2022-03-11,2330,42981381,24820833930,581.0,582.0,574.0,575.0,-12.0,112158
42,2022-03-14,2330,38562552,22131365409,574.0,577.0,572.0,572.0,-3.0,87337
43,2022-03-15,2330,84338792,47191728965,562.0,563.0,558.0,558.0,-14.0,277901
44,2022-03-16,2330,50764807,28345633852,564.0,565.0,555.0,558.0,0.0,110732
45,2022-03-17,2330,65820899,38121960334,578.0,583.0,575.0,582.0,24.0,65468
46,2022-03-18,2330,49583448,28771454221,582.0,582.0,576.0,581.0,-1.0,39576
47,2022-03-21,2330,22800165,13363354969,583.0,589.0,583.0,586.0,5.0,32617
48,2022-03-22,2330,23421124,13613967252,577.0,586.0,577.0,583.0,-3.0,27371
49,2022-03-23,2330,27475008,16177424772,590.0,590.0,586.0,590.0,7.0,30970
50,2022-03-24,2330,20769676,12232627003,587.0,592.0,585.0,591.0,1.0,21647
51,2022-03-25,2330,26794684,15984831591,597.0,598.0,595.0,598.0,7.0,29896
52,2022-03-28,2330,27954730,16298449416,581.0,586.0,580.0,584.0,-14.0,54537
53,2022-03-29,2330,15742359,9243985774,586.0,589.0,584.0,589.0,5.0,21222
54,2022-03-30,2330,43256548,25908489513,599.0,600.0,597.0,600.0,11.0,48535
55,2022-03-31,2330,25130417,15014260610,602.0,602.0,594.0,597.0,-3.0,18860
56,2022-04-01,2330,31247086,18328227645,585.0,589.0,584.0,589.0,-8.0,53178
57,2022-04-06,2330,40726932,23547636944,578.0,580.0,575.0,578.0,-11.0,62822
58,2022-04-07,2330,47212937,26881649976,571.0,573.0,566.0,566.0,-12.0,130552
