,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2023-01-03,2330,15311364,6871973708,446.0,453.5,443.0,453.0,4.5,22581
1,2023-01-04,2330,20626874,9310050329,449.5,455.0,448.5,449.5,-3.5,18233
2,2023-01-05,2330,23972099,10972616269,459.0,459.5,455.0,458.5,9.0,20752
3,2023-01-06,2330,21313593,9745142549,455.0,459.5,455.0,458.5,0.0,16635
4,2023-01-09,2330,49186355,23352375299,468.0,481.0,467.5,481.0,22.5,57305
5,2023-01-10,2330,34785370,16867391241,486.0,487.0,483.0,486.0,5.0,36975
6,2023-01-11,2330,21749124,10531314878,487.0,488.0,482.0,484.5,-1.5,25457
7,2023-01-12,2330,22416984,10901640739,487.5,488.0,484.0,486.5,2.0,25780
8,2023-01-13,2330,81848755,41113175651,507.0,509.0,499.0,500.0,13.5,93121
9,2023-01-16,2330,38781925,19573968332,506.0,508.0,503.0,505.0,5.0,48051
10,2023-01-17,2330,29443522,14784661794,504.0,504.0,499.5,503.0,-2.0,27930
11,2023-01-30,2330,148413161,80057158264,542.0,543.0,534.0,543.0,40.0,153125
12,2023-01-31,2330,79212272,41736937234,537.0,538.0,521.0,522.0,-21.0,74279
13,2023-02-01,2330,42539626,22450948467,532.0,533.0,522.0,530.0,8.0,31487
14,2023-02-02,2330,46523592,25091483557,538.0,542.0,537.0,540.0,10.0,45495
15,2023-02-03,2330,34156234,18439613447,540.0,542.0,536.0,542.0,2.0,39674
16,2023-02-06,2330,32208918,17041821849,532.0,533.0,526.0,526.0,-16.0,46279
17,2023-02-07,2330,24362116,12767910080,524.0,528.0,522.0,523.0,-3.0,28519
18,2023-02-08,2330,37633169,20247927642,538.0,540.0,534.0,540.0,17.0,43495
19,2023-02-09,2330,22311345,12026317167,540.0,540.0,536.0,540.0,0.0,19698
20,2023-02-10,2330,30445088,16545221176,544.0,546.0,541.0,545.0,5.0,40984
21,2023-02-13,2330,23903151,12921896752,544.0,544.0,538.0,541.0,-4.0,22431
22,2023-02-14,2330,23855974,12990943260,544.0,546.0,543.0,545.0,4.0,27983
23,2023-02-15,2330,66068713,34751111404,526.0,532.0,522.0,525.0,-20.0,103433
24,2023-02-16,2330,33509968,17692691883,528.0,531.0,524.0,528.0,3.0,27033
25,2023-02-17,2330,29673053,15385668299,524.0,524.0,516.0,518.0,-10.0,55965
26,2023-02-20,2330,21181235,10928087780,514.0,519.0,511.0,517.0,-1.0,25898
27,2023-02-21,2330,15097509,7771141142,515.0,517.0,513.0,516.0,-1.0,27200
28,2023-02-22,2330,26578867,13474662693,506.0,509.0,505.0,507.0,-9.0,47843
29,2023-02-23,2330,26801677,13846782345,512.0,521.0,510.0,518.0,11.0,26552
30,2023-02-24,2330,48372303,24932422713,524.0,525.0,511.0,511.0,-7.0,29612
31,2023-03-01,2330,45971058,23624972884,504.0,522.0,504.0,522.0,11.0,31738
32,2023-03-02,2330,18017085,9344352321,519.0,520.0,515.0,519.0,-3.0,14320
33,2023-03-03,2330,24117189,12510608773,524.0,525.0,516.0,516.0,-3.0,22160
34,2023-03-06,2330,24741125,12883854256,520.0,524.0,517.0,521.0,5.0,20678
35,2023-03-07,2330,27650283,14465320023,521.0,526.0,519.0,524.0,3.0,20595
36,2023-03-08,2330,27077587,14091713576,521.0,523.0,518.0,521.0,-3.0,20504
37,2023-03-09,2330,25639391,13430582677,525.0,526.0,522.0,522.0,1.0,16497
38,2023-03-10,2330,25572403,13122265260,515.0,516.0,511.0,513.0,-9.0,46216
39,2023-03-13,2330,22568740,11608973891,513.0,518.0,509.0,516.0,3.0,24150
40,2023-03-14,2330,26599476,13602260966,511.0,514.0,510.0,510.0,-6.0,24848
41,2023-03-15,2330,24080361,12350942139,515.0,516.0,510.0,511.0,1.0,21075
42,2023-03-16,2330,23325664,11809911840,505.0,510.0,504.0,505.0,0.0,33493
43,2023-03-17,2330,35872881,18538033584,516.0,518.0,513.0,518.0,13.0,21217
44,2023-03-20,2330,12752221,6542889562,517.0,518.0,510.0,512.0,-6.0,17709
45,2023-03-21,2330,18519120,9534730452,515.0,517.0,512.0,517.0,5.0,14094
